ID	Sentiment	Content
0	1	Khung cảnh đặc trưng chưa bị pha tạp. Có nhiều nhà voi để mình lựa chọn. Các &quot;bác tài&quot; điều khiển voi rất thành thạo. Ngồi trên lưng voi đi quanh buôn rồi voi lội qua Hồ Lắk - cảm giác rất yo most! Được ngắm cây Kơ Nia. Được xem buôn làng và những sinh hoạt thường nhật trong buôn. Có nhiều hàng lưu niệm giá cả phải chăng (nếu biết mặc cả)
1	1	Tôi có dịp vào Gia lai công tác, sau ngày làm việc tôi cùng mấy người bạn đi chơi thuỷ điện Ialy, Biển hồ. Thời điểm chúng tôi đi công tác vào mùa hè rất nóng, khi đến Biển hồ tôi đã rất thích không khí thoáng mát ở đây, hưởng gió trời thật tuyệt!
2	1	Biển đẹp, buổi tối ở bãi biển rất tấp nập, quán xá trang trí đèn và bàn ghế rất thú vị. Giá cả đồ ăn cũng khá phải chăng.
3	0	hải sản ko phong phú và chế biến ko ngon
4	1	Tôi đến Hội An khoảng 20 lần, lần nào cũng vào phố cổ vào buổi tối. Phố cổ Hội An với đường phố nhỏ bàn cờ, dãy nhà cổ thấp luôn đem lại cảm giác thanh bình, yên ả và chút hoài cổ. Tôi nghĩ Phố cổ là linh hồn của du lịch Hội An
5	1	Chùa trên núi cao, rất mát mẻ. Chùa quả là hoành tráng, rừng núi Tam Đảo xung quanh trong lành nên thấy nhẹ nhàng thanh tịnh. Tiếc là hôm mình đi trời có sương mù nên không nhìn được cảnh ở xa.
6	1	Tôi có đến Dinh III, ấn tượng với các hiện vật trưng bày ở đây.
7	1	"Nếu mục đích của bạn đến Bangkok là để mua sắm thì chắc chắn Baiyoke Sky là một trong những lựa chọn tốt nhất - bước chân xuống ngay trước khách sạn là khu Pratunam sầm uất cả ngày lẫn đêm. Thêm vào đó khách sạn là tòa nhà cao nhất Thái Lan nên view cũng rất tuyệt vời. Ăn sáng trên tầng 83 khách sạn có thêm phòng tầm mắt hết cả BKK
0;Tuy vậy chất lượng phòng không quá cao, có cảm giác hơi cũ kỹ. "
9	1	Đây là 1 khách sạn chứ không phải resort nhưng không gian rất rộng rãi, có bể bơi nho nhỏ, sân vườn khá đẹp; có 2 điểm nhấn là Casino và Khu đài tưởng niệm các anh hùng tàu không số ngay cạnh đó. Vào đây, cảm giác chung là thanh bình, sang trọng (so với tổng thể khu vực Đồ Sơn thì địa điểm này đạt được mức độ đó). Tiền phòng dao động tầm 2tr - 3,5tr (mình nhớ không chính xác lắm nhưng tầm 100usd/phòng loại bình thường). Tiền phòng này đã gồm ăn sáng buffe và bữa sáng này cũng là điểm được nhiều người đánh giá tốt: đồ ăn ngon, phong phú, hợp khẩu vị nhiều người. Không gian sảnh lễ tân và quầy bar khá được, cafe được. Bể bơi cũng sử dụng trong giá phòng, ko hạn chế việc sử dụng. Ở đây bể nhỏ nhưng sạch sẽ, không bị mùi nước tẩy xộc lên như nhiều chỗ khác. Nhà mình ở đây mấy lần rồi: lần 1 cả đại gia đình, lần 2 thì gia đình nhỏ và lần 3 thì 2vc trốn con đi chơi. Đối với lần 3, ấn tượng tốt về Đồ Sơn resort giảm đi khá do 1 chuyện: Phòng ngủ của vợ chồng bạn mình bị hỏng điều hòa, gọi sửa mãi không được, chán sửa bảo cho quạt dự phòng thì không có. Tóm lại, cả đêm ngủ trong cảnh mở toang cửa sổ đón gió trời, mặc muỗi đốt. Dĩ nhiên họ có đề nghị chuyển phòng sau khi loay hoay mãi ko xong nhưng lúc đó về phòng muộn, bọn trẻ con đã lăn ra ngủ cả, chuyển rất lích kích nên đành chịu. Tổng quan chung thì nếu muốn tìm kiếm 1 ks sang tại Đồ Sơn, dịch vụ tổng thể chuyên nghiệp thì bạn nên tham khảo địa điểm này.
10	1	Nhà thờ nằm ngay khu vực trung tâm, nhưng có sân rộng, được thiết kế thoáng, chăm chút sạch sẽ nên không khí rất dễ chịu.
11	1	Chùa rộng, nằm trên đồi cao, tách biệt khu dân cư, rất yên tĩnh, có thể đến đó vãn cảnh chùa, lễ Phật hoặc thư giãn, đọc sách.
12	0	Bãi biển Cha Am không phẳng, bãi cát không mịn, nhiều sỏi đá, nước không xanh, buổi chiều sóng to. Ở Cha Am buổi tối cũng không có gì như ở trung tâm Hua Hin.
13	0	Ngay gần Rừng Quốc gia Ba Vì, không gian rất khoáng đạt. Tuy nhiên khu nhà nghỉ thì chưa tốt lắm. Dịch vụ chưa có gì.
14	1	"Bảo tàng được bài trí công phu, chia thành các chủ đề theo trường phái hoặc dòng lịch sử, có hướng dẫn khách đi từ đầu đến cuối theo thứ tự.
                  Đoàn của mình thuê một thiết bị ghi âm giới thiệu để đến hiện vật nào quan tâm có thể gõ mã số và nghe giới thiệu sơ lược."
15	1	Mình đã qua chợ mua một số quà cho bạn bè trước khi trở về. Các đồ kiểu 100% bản địa và giá khá bình dân.
16	1	Đầu năm tôi có đi Yên tử, lúc xuống có vào Thiền viện Trúc lâm, tôi thấy ở đây là nơi thờ tự như các chùa khác đồng thời có thêm khu vực để dạy học. Tôi thích phong cảnh và sự thanh tịnh nơi đây.
17	1	Đầu xuân những năm gần đây nhà tôi hay đi chơi về hướng Côn Sơn - Kiếp Bạc. Lúc về theo hướng qua Bắc Ninh đều thường ghé vào Đền Đô. Mỗi năm tôi đều thấy sự đổi thay ở khu vực đền, lúc làm mới con đường, hoặc xây thêm nơi thờ tự, tuy thêm mới nhưng quy hoạch vẫn rất tốt.
18	0	Tôi đã đến thánh địa Mỹ sơn, lúc đầu tôi hình dung phải là một nơi rộng lớn với nhiều lăng tẩm ... Khi đến nơi thì thấy không lớn như tôi nghĩ. Nhưng phải nói kiến trúc, xây dựng của người xưa rất sáng tạo.
