Content,Sentiment
Ăn sáng ngon,1
"Dia diem thuan tien, sach se , phong tot",1
"Tôi dang ky o khach san 5 dêm, sau 3 dêm, tôi duoc moi lên o tâng 14 theo yêu câu cua minh.Nhân viên tiêp tân hoi nghiêm. Cac bô phân khac rât vui ve, niêm no và tân tinh phuc vu cho khach !",1
"Nhân viên thân thiện, nhiệt tình và chuyên nghiệp trong tác phong",1
"Khach San moi, gan moi Phuong Tien,",1
"Vị trí gần trung tâm Hội An, chạy xe 2km là đến hoặc có thể đi bộ. Chủ nhà rất nhiệt tình tư vấn và thân thiện.",1
"Địa điểm rất đẹp, đi biển An Bàng rất gần, ra biển Cửa Đại hay đi Cù Lao Chàm cũng gần mà đạp xe vào phố cổ cũng rất nhanh. Nằm trên dãy phố mới nên rất yên tĩnh chứ không ồn ào vào buổi tối như trong phố cổ. Anh chủ rất tuyệt, cho mượn xe đạp miễn phí. Tôi rất hài lòng khi ở đây.",1
"vừa qua tôi đi công tác nghỉ ở khách sạn Qúy Hùng. Tôi thấy mọi thứ ở đây rất tốt. Từ địa điểm đến trang thiết bị khách sạn rất hiện đại, giá rẻ. Tôi sẽ quay lại đây vào những lần sau",1
"Gần trung tâm, tiện nghi",1
"phòng sang trọng, gần trung tâm bến thành, nhân viên nhẹ nhàng lại xách đồ giùm lên phòng",1
"Giuong thoai mai,dia diem rat thuan tien, nhan vien cung rat nhiet tinh nua",1
rất thú vị với chuyến đi. hi vọng sẽ ghé lần sau,1
"nhân viên phục vụ niềm nở, nhiệt tình...",1
dạo phố,1
"Vị trí thuận lợi tại trung tâm tp,nhân viên ks nhiệt tình và vui vẻ. Giá cả hơp lý.Tôi sẽ chọn ks này cho lần công tác sau..",1
"Thái độ phục vụ, phòng sạch sẽ, gọn gàng",1
"Phong cách phục vụ rất tốt, khách sạn thoáng mát. đồ dùng đầy đủ tiện nghi",1
"nhân viên nhiệt tình, khách sạn sạch sẽ, ở trung tâm thành phố thuận tiện đi lại.",1
"Khung cảnh đẹp, gần biển.",1
Dia Diem tot,1
gần chợgần phố đi bộ,1
Nhân viên nhiệt tình,1
"- đồ nội thất và giường ngủ ở đây khiến chúng tôi rất hài lòng sau chuyến đi dài- vị trí gần trung tâm, mặt đường lớn",1
Khách sạn tạm chấp nhận(vì giá 296.000đ).hotel kiểu gia đình.phòng cũng được.khu vực yên tĩnh.gần siêu thị.chỉ 1 cái là muỗi nhiều.bãi xe 2 bánh.4 bánh thì vô tư..,1
"Tôi rất thích thái độ phục vụ của hai bạn là vợ chồng chủ khách sạn, các bạn rất vui vẻ thân thiện như người nhà, Khách sạn cũng không xa trung tâm lắm đi đến Đền Bà Chúa Xứ cũng khoảng 6km ra chợ Châu Đốc cũng gần, đi lại cũng thuận tiệ. Khách sạn có phòng rộng rãi sạch sẽ, hành lang cũng có điều hòa mát mẻ khi bước ra khỏi phòng.  tôi nhớ mãi chuyến đi vừa rồi của hai mẹ con tôi, Tôi đến Châu Đốc vào ngày 2/1 về ngày 3/1 đúng dịp lễ tôi chủ quan không book xe về Sài gòn trước nên ra đến Châu Đốc mới book ngày hôm đó toàn bộ các hãng xe chất lượng cao như Phương Trang đều đã hết vé, mẹ con tôi không còn cách nào để về Sài gòn nên đành phải đi xe hãng Kim Hương, Hãng xe Kim Hương đã cho một xe ôm đến khách sạn đón mẹ con tôi trong khi tôi đi hai người cộng thêm một valy Somsinte loại 30kg vậy mà họ điều xe ôm đến đón mẹ con tôi, thật kinh khủng, may mà hai bạn vợ chồng chủ khách sạn đã đọc được suy nghĩ của tôi đang phân vân gọi xe taxi ra bến xe Kim Hương thì Bạn Chủ khách sạn đã đích thân lấy xe ô tô của nhà mình ra để đưa mẹ cọn tôi ra bến xe Kim Hương. Tôi thực sự cảm động với phong cách phục vụ rất chân tình của hai bạn vợ chồng chủ khách sạn. Tôi làm bên ngành Hàng không và là người đi du lịch rất nhiều cả trong và ngoài nước nên tôi đã trải nghiệm rất nhiều khách sạn và Resort khác nhau, tôi nhận thấy với mức giá tại khách sạn Đồng Xanh tôi ở chỉ tầm hơn 12$/ 1 phòng đôi rộng rãi, tôi thấy rất hợp lý và phù hợp với chuyến đi của tôi.",1
Sach se tien nghi,1
