	Content	Sentiment
0	"Bắc Giang không phải là một nơi được đầu tư và có tiềm năng du lịch mạnh nên khi tới đây mặc dù có rất nhiều địa danh cảnh quan đẹp nhưng bạn có thể sẽ phải tự mình khám phá nó hoặc nhờ tới những người dân bản địa ở đó.
                                              Nhưng đổi lại bạn sẽ nhận được tình cảm cũng như sự giúp đỡ nhiệt tình của con người nơi đây.
                                              Tất cả đều là sự trải nghiệm thực tế của mình và những cảm xúc thật của mình mong sẽ cung cấp được một phần về nơi đây cho mọi người."	0
1	hải sản ko phong phú và chế biến ko ngon	0
2	Trời có sương mù nên không nhìn được cảnh ở xa	0
3	Khung cảnh không ấn tượng	0
4	Bãi cát không mịn, nhiều sỏi đá, nước không xanh, buổi chiều sóng to, buổi tối cũng không có gì	0
5	Khu nhà nghỉ chưa tốt lắm, dịch vụ chưa có gì	0
6	Không lớn như tôi nghĩ	0
7	Không gian chùa khá hẹp, giáp ngay phố nên hơi ồn ào	0
8	Nhà ga rất nhỏ 	0
9	Không có hoạt động hay hàng hóa gì đặc sắc cả	0
10	Có nhiều làng dân tộc nhưng không có người sống ở đó nên nhà cửa đã cũ	0
11	Lên chùa phải leo dốc cao	0
12	Chợ không rộng lắm	0
13	Không quá đặc biệt 	0
14	Đường phố đông người, xe máy, ô tô nhiều 	0
15	Buổi tối ở Coto khá buồn, không có nhiều hoạt động lắm; không mấy người thân thiện lắm	0
16	Chưa có dịch vụ, nhà cửa không có người ở, vắng vẻ	0
17	 Nếu các bạn ít thời gian thì nên đến Thác Tình yêu trước bởi thác tình yêu đẹp hơn rất rất nhiều so với Thác Bạc.	0
18	Cát không đẹp, không mịn, nước cũng không trong lắm, buổi chiều có đoạn còn có rác bị sóng cuốn vào	0
19	View được ra đường Nguyễn Huệ nhưng bị mấy chung cư đằng trước che lấp 1 phần	0
20	Không có gì đặc sắc	0
21	Quy mô nhỏ, không hoành tráng lắm	0
22	Quy mô khá nhỏ, có thể gây ùn tắc nếu số lượng người thắp hương quá đông	0
23	Đá khá trơn dễ trượt, có chỗ nước sâu, không nên đưa trẻ em dưới 5 tuổi đi cùng	0
24	Hơi ít cây xanh, việc thả tiền vào giếng gây mất mĩ quan	0
25	Rất đông khách nên sẽ hơi vất vả và phải tự sơ chế.	0
26	Các mặt hàng không có gì đặc sắc cả.	0
27	Vắng, nhân viên đông hơn khách. Giá cũng không mềm lắm	0
28	Nếu đến đây nhiều ngày thì hơi ít điểm để đi	0
29	Nhỏ, đường đi hơi chật, không phải lý tưởng để mua sắm	0
30	Không có gì đặc biệt	0
31	Tôi chẳng có điểm nào không thích ở Huế :)	0
32	"- Người sống ở thành phố rất đông nên tình trạng kẹt xe hay xảy ra
                                              - Ảnh hưởng trực tiếp triều cường và nước thoát rất chậm nên tình trạng ngập úng dễ xảy ra khi mưa
                                              - Những con sông ở Sài Gòn là điểm yếu, nó rất dơ và hôi, tuy nhiên thành phố đang cải thiện.
                                              - Ăn xin còn tồn tại quá nhiều."	0
33	Không có nhiều thứ hay lắm	0
34	Không có gì đặc biệt lắm	0
35	Khá đắt. Một người 300-500k. Món ăn cũng tạm tạm nhưng không có gì đặc sắc	0
36	 Nếu để mua sắm thì nên tới chỗ khác. Nếu để giải trí thì cũng không có gì.	0
37	Tuy là có cây cối nhưng cũng nóng nên không nên cho trẻ em đi.	0
38	Trừ cái vụ tiền Đô và khó xài được thẻ tín dung ra thì mình thấy rất ok. 	0
39	Nước biển nhiều phù sa nên đục	0
40	Hầu như không có thắng cảnh đặc sắc để tham quan. 	0
41	 Không hấp dẫn	0
42	Đi một lần là chán. Chỉ là cái hang bé	0
43	Đường đi hẹp, mùi tanh và bí	0
44	Đường đi khá nguy hiểm.	0
45	Có quá nhiều điểm đến thú vị, nó sẽ khiến bạn đau đầu để chọn lựa và sắp xếp thời gian đấy.	0
46	Hai bên bờ ăn uống tùm lum, nước bẩn và thức ăn hỏng cùng rác từ mấy nhà hàng tạo nên mùi hương ... khó tả. 	0
47	Khá nhiều rác vứt lung tung	0
