reviews	sentiment
Diện tích phòng vệ sinh cần rộng hơn	1
Cach am giua cac phong chua tot	1
Tôi không may roi vào luc khach san dang xây môr home cinema. Tiêng dông cua công truong dánh thuc môi sang vào luc 7 gio ! Mong rang nhung nguoi khach sau Tôi se tân huong tiên nghi cua khach san hon tôi !	1
Tiện nghi phòng, tiện nghi dịch vụ chưa xứng tầm dịch vụ 4 sao và giá tiền.	1
Chua hoan tat van con dang Xay dung co tieng on so va bui bam,	1
Điểm trừ duy nhất là đang đêm ngủ bị nhảy điện phải gọi anh chủ về mở lại làm phen hú hồn tưởng trộm vào nhà.	1
Khách sạn chưa có ăn sáng	1
Không có ăn sáng	1
Khach San phuc vu te, May lanh Ko hoat dong. Gia tien phong qua cao va phong nho	1
Bong den chua du do sang de lam viec, nen lap dat them	1
không có.	1
Không có	1
Nhân viên không chuyên nghiệp. Nước trong bể bơi quá bẩn. Đáy bể và các cạnh bể rất gồ ghề, dễ bị xước tay chân khi bơi.	1
dat phong 1 noi cho nghi 1 noi ..,trong phong den bi hu keu nhan vien thay bong den moi  den khi Tra phong Cung k co den , thang may Thi den tang 5 phong ngu Thi o tang 6 Phai di bo them 1 tang	1
Chan ga goi dem rat hoi ham, can ve sinh sach se hon. Thanks	1
chổ đậu xe	1
NV	1
Chờ thang may , giường nằm không thoai mái , giường nằm xuống kêu kẹt kẹt	1
Thanh toán bằng thẻ thu phí 3%Nệm ngủ quá cũ, chất lượng không tốt	1
- bãi để xe ngổn ngang- không có view, chỉ ở trong phòng	1
Trong phòng không có gì ăn nhẹ..	1
Tôi chỉ không hài lòng một chút vì chăn và ga, gối tại KHách sạn Đồng Xanh vẫn dùng loại có nhiều nilon, Nếu khách sạn nên thay toàn bộ chăn ga gối đều bằng vải Cotton 100% sẽ thoáng và sạch sẽ và sang trọng hơn, Do là chăn ga bằng Nilon nên hơi bị mùi.	1
không có ăn sáng	1
Trong phòng thiếu mất tủ lạnh mini. Cửa phòng vệ sinh hư .	1
về cách âm giữa các phòng	1
giá hơi đắt :D	1
Hơi xa trung tâm	1
1nam nhan vien sang ngay 13/3tra phong.Khong chung that.Noi chuyen ko dc lich su.	1
Không có	1
Bể bơi hơi có mùi thuốc tẩy. Wifi hơi bất tiện vì phải dùng password.Gối cao quá nên tôi không ngủ được, nên sử dụng thêm 1 loại gối thấp.	1
Thoi tiet khong thuan loi lam	1
May lanh rat toi	1
Nếu nhà hàng ăn trang trí thêm thì rất tốt, nhà hàng quá đơn diệu, so với sảnh chính quá xa.	1
Máy lạnh hư, không có phần ăn sáng trong khi trên booking có ghi	1
An sang ngheo nan, khoang 9h da het thuc an	1
Nhân viên tiếp tân phục vụ thiếu chuyên nghiệp, không tận tình, chu đáo. Tôi không hề nhận được một lời giải thích nào cho việc tôi phải đợi hơn 1h30p để check in trong khi tôi đã book phòng trước đó 2 ngày. Khi nhận được phòng, tôi không hề thấy có một nhân viên nào chờ đợi dẫn tôi đến phòng đến khi tôi hỏi nhân viên bảo vệ thì họ mới cho người hướng dẫn tôi đến phòng....	1
Bể bơi nhỏ, phòng cũ, mùi ẩm mốc. Chăn ga bị ngứa.	1
Vệ sinh phòng chưa tốt, ga gối cũ ngả mầu tạo cảm giác không sạch.	1
Bữa sáng quá tệ. Không gian không giống trong hình đã đăng trước đó.	1
- Không có dầu gội, xà bông,. 2 khăn tắm đen bẩn đến ghê sợ- Bồn cầu không xả nước. ...	1
Nhân viên không thân thiện, khá là khó chịu với nguời Việt Nam.Trong phòng có gián. Cửa phòng thì bị hư không thể khoá được.Vị trí địa điểm ở nơi hẻo lánh, đường đất đá xấu, rất khó khăn khi đi chơi về khuya.unfriendly staff.cockroaches in rooms.Location is not beautiful because of deserted roads.	1
- Đường phía trước mặt tiền chưa làm.	1
Ở đây bắt trả phòng sớm quá, 11h đã phải trả phòng rồi	1
Đường buổi tối khá vắng vẻ	1
Phòng quá chật, toilet quá bất tiện khi bên ngoài nhìn hết bên trong làm gì, trong phòng không có tủ lạnh, không có dép đi trong phòng, giá lại mắc như khách sạn 2 sao trở lên.	1
Sàn nhà hơi bẩn, trong phòng tắm không có chỗ treo quần áo	1
ks trong hẻm hơi khó tìm	1
Nhà tắm không có chỗ để đồ , treo đồ hơi bất tiện .	1
Không đạt như nhữg điều j đăng giới thiệu và quảng bá trên các trag mạng và phuong tiện truyền thông	1
tôi không thể tin được là nhân viên ks lại tiết lộ thông tin khách hàng, vi phạm nghiêm trọng qui tắc của ngành khách sạn	1
nv bảo vệ quá tệ	1
Đồ ăn sáng luôn bị nguội không được làm nóng. Nhân viên phục vụ hơi chậm. Trong phòng có nhiều ghế tủ không cần thiết nên khiến phòng bị chật.	1
Cửa bathroom bị hư. Máy lạnh cũ không đủ lạnh.	1
Bathroom chưa sạch	1
Nhân viên bảo vệ Già( ông bảo vệ Già ) nhất của khách sạn có hành vi chửi khách, thiếu trách nhiệm, đề nghị nên xem lại, người ta đến du lịch ở ks để tận hưởng sự thoải mái nhưng lại gặp 1 nhân viên bảo vệ thiếu trách nhiệm, lại hóng hách. Chắc ko có lần sau đến ở tại ks, mặc dù đây là lần thứ 2 tôi đã ở ks này!	1
Tiệm nghi trong phòng chỉ mang tính hình thức kg có giá trị sử dụng : điện thoại kg gọi đc ( P301), phần matxa thuỷ lực của bồn tắm kg hoạt đọng ( P802 ), vị trí lắp đặt máy lạnh trong phòng kg hợp lý ( P 802)	1
Đón tiếp của lễ tân chưa được nhiệt tình.	1
wifi khong on dinh, kho ket not internet, can co them chi dan ve su dung cac trang thiet bi tai phong	1
Nhân viên kém thân thiện, không được huấn luyện để làm hài lòng khách. Tôi cần một bộ áo quần đi ăn ngay nhân viên nói sau 1 tiếng nữa mới xong. Tôi hỏi mượn bàn là thì nói ở đây không có mượn bàn là...Phòng nhỏ, toilet thiếu ánh sáng. Đêm đầu tiên về phòng còn có muỗi. Tôi đã đặt trước nên không hủy phòng được. Bạn có thể chọn khách sạn này nếu không quan tâm nhiều đến dịch vụ và cần một địa điểm mua sắm chợ bến thành.	1
ăn sáng không có, tivi quá nhỏ, đồ dùng trong phòng bình thường	1
Phòng hơi nhỏ tí	1
- đường đi vào hơi phức tạp, dễ bị lạc	1
phòng hơi nhỏ	1
phòng nhỏ, giường nhỏ.	1
đi 3 đứa 3 chiếc xe máy lúc đầu ko nghe ai nói gì hết xong cỡ 11h đêm đi về nhân viên bảo là chỉ giữ dc 1 chiếc, thế là phải tự tìm chỗ giữ xe rồi đi bộ lại ks	1
Mình đặt loại phòng eco nên phòng khá hẹp và bí vì ko có cửa sổ. Nếu bạn muốn ở đây thì nên them chút tiền để đặt loại phòng khác thoải mái hơn	1
che rèm phòng vẫn sáng	1
nhân viên chưa được thân thiện, phòng thay đổi ko báo khách	1
khong co thang may.khach san trong hem.	1
cơ sở vật chất kém so với nhiều khách sạn cùng giá tiền, đồ đạc trong phòng như máy sấy bị hư hỏng, máy lạnh chảy nước, remote hết pin	1
