Tag;Content
1;Tôi có dịp vào Gia lai công tác, sau ngày làm việc tôi cùng mấy người bạn đi chơi thuỷ điện Ialy, Biển hồ. Thời điểm chúng tôi đi công tác vào mùa hè rất nóng, khi đến Biển hồ tôi đã rất thích không khí thoáng mát ở đây, hưởng gió trời thật tuyệt!
1;Biển đẹp, buổi tối ở bãi biển rất tấp nập, quán xá trang trí đèn và bàn ghế rất thú vị. Giá cả đồ ăn cũng khá phải chăng.
1;Tôi đến Hội An khoảng 20 lần, lần nào cũng vào phố cổ vào buổi tối. Phố cổ Hội An với đường phố nhỏ bàn cờ, dãy nhà cổ thấp luôn đem lại cảm giác thanh bình, yên ả và chút hoài cổ. Tôi nghĩ Phố cổ là linh hồn của du lịch Hội An
1;Chùa trên núi cao, rất mát mẻ. Chùa quả là hoành tráng, rừng núi Tam Đảo xung quanh trong lành nên thấy nhẹ nhàng thanh tịnh. Tiếc là hôm mình đi trời có sương mù nên không nhìn được cảnh ở xa.
1;Tôi có đến Dinh III, ấn tượng với các hiện vật trưng bày ở đây.
1;Nếu mục đích của bạn đến Bangkok là để mua sắm thì chắc chắn Baiyoke Sky là một trong những lựa chọn tốt nhất - bước chân xuống ngay trước khách sạn là khu Pratunam sầm uất cả ngày lẫn đêm. Thêm vào đó khách sạn là tòa nhà cao nhất Thái Lan nên view cũng rất tuyệt vời. Ăn sáng trên tầng 83 khách sạn có thêm phòng tầm mắt hết cả BKK
1;Ga xe lửa nhỏ xinh, đẹp như trong truyện cổ tích. Một nơi nên tới để tham quan và chụp hình. Từ đây có thể đi bộ ra chợ.
1;Không nên bỏ lỡ dịp tới thăm chợ đêm Cicada. Chợ rộng rãi, bán các đồ thủ công handmade của Thái Lan. Tới chợ vừa thăm quan, mua sắm, ăn các món truyền thống với giá cả rất hợp lý, dễ mua. Mình rất thích chợ này.
1;Nhà thờ nằm ngay khu vực trung tâm, nhưng có sân rộng, được thiết kế thoáng, chăm chút sạch sẽ nên không khí rất dễ chịu.
1;Chùa rộng, nằm trên đồi cao, tách biệt khu dân cư, rất yên tĩnh, có thể đến đó vãn cảnh chùa, lễ Phật hoặc thư giãn, đọc sách.
1;Chùa rất cổ, chùa nằm trên đỉnh đồi, lên chùa phải leo dốc cao, qua mấy trăm bậc thang đá ong. Chùa rất đẹp, cổ kính, từ khung cảnh bên ngoài đến các bức tượng La Hán. Cách chùa khoảng trăm mét có chùa mới xây, cũng đẹp.
1;Không khí trong lành, không gian yên tĩnh rất thoáng đãng  với biển xanh biếc bao quanh một hòn đảo cát nhỏ, chỉ có cây cối, biển, cát và bạn. Đảo Cô Tô con làm tôi liên tưởng tới bãi Sao - Phú Quốc.
1;Buổi tối quảng trường thoáng mát, rất đông người đi dạo. Lễ hạ cờ lúc 9h tối rất nghiêm trang, như xem duyệt binh.
1;Mùa hè mà ăn ở đây thì đúng là không có chỗ nào để chê luôn. Bàn ăn ngay cạnh hồ rất mát và thoáng, tuy nhiên khách khá đông nên sẽ có những hôm hết chỗ ngồi ngoài sân, phải ngồi trong nhà thì không thích lắm. Mình là người không thích ăn tôm nhưng phải công nhận là bánh tôm ở đây rất ngon. Đồ ăn giá hơi đắt, nhân viên cũng không có vẻ thân thiện lắm. Điểm trừ nữa là gửi xe ở đây mất tiền. Mình cũng không hiểu tại sao vì bãi gửi xe ngay cổng mình cứ nghĩ là của nhà hàng, vậy mà ăn xong ra lấy xe cũng mất thêm 5k.
1;Hồ Hoàn Kiếm vào mùa xuân, ngày nắng... quá đẹp. Mới được mấy tẩm ảnh, dạo một vòng tới đền Ngọc Sơn, Cầu Thê Húc đẹp quá không chụp được vì điện thoại hết pin :(
